Source, SourceFunction, SourcePath, Sink, SinkFunction, SinkPath, Remark, Plugin
fragment : String, localRefreshTask, /Users/pang0lin/cms/若依RuoYi/ruoyi-admin/src/main/java/com/ruoyi/web/controller/demo/controller/DemoFormController.java, ... + ..., localRefreshTask, /Users/pang0lin/cms/若依RuoYi/ruoyi-admin/src/main/java/com/ruoyi/web/controller/demo/controller/DemoFormController.java, Potential Spring Expression Language injection, SpringViewManipulation
fragment : String, getCacheNames, /Users/pang0lin/cms/若依RuoYi/ruoyi-admin/src/main/java/com/ruoyi/web/controller/monitor/CacheController.java, ... + ..., getCacheNames, /Users/pang0lin/cms/若依RuoYi/ruoyi-admin/src/main/java/com/ruoyi/web/controller/monitor/CacheController.java, Potential Spring Expression Language injection, SpringViewManipulation
fragment : String, getCacheKeys, /Users/pang0lin/cms/若依RuoYi/ruoyi-admin/src/main/java/com/ruoyi/web/controller/monitor/CacheController.java, ... + ..., getCacheKeys, /Users/pang0lin/cms/若依RuoYi/ruoyi-admin/src/main/java/com/ruoyi/web/controller/monitor/CacheController.java, Potential Spring Expression Language injection, SpringViewManipulation
fragment : String, getCacheValue, /Users/pang0lin/cms/若依RuoYi/ruoyi-admin/src/main/java/com/ruoyi/web/controller/monitor/CacheController.java, ... + ..., getCacheValue, /Users/pang0lin/cms/若依RuoYi/ruoyi-admin/src/main/java/com/ruoyi/web/controller/monitor/CacheController.java, Potential Spring Expression Language injection, SpringViewManipulation
dept : SysDept, list, /Users/pang0lin/cms/若依RuoYi/ruoyi-admin/src/main/java/com/ruoyi/web/controller/system/SysDeptController.java, dept, list, /Users/pang0lin/cms/若依RuoYi/ruoyi-system/src/main/java/com/ruoyi/system/service/impl/SysDeptServiceImpl.java, MyBatis Mapper XML SQL injection, MyBatisMapperXmlSqlInjection
user : SysUser, allocatedList, /Users/pang0lin/cms/若依RuoYi/ruoyi-admin/src/main/java/com/ruoyi/web/controller/system/SysRoleController.java, user, allocatedList, /Users/pang0lin/cms/若依RuoYi/ruoyi-system/src/main/java/com/ruoyi/system/service/impl/SysUserServiceImpl.java, MyBatis Mapper XML SQL injection, MyBatisMapperXmlSqlInjection
user : SysUser, unallocatedList, /Users/pang0lin/cms/若依RuoYi/ruoyi-admin/src/main/java/com/ruoyi/web/controller/system/SysRoleController.java, user, unallocatedList, /Users/pang0lin/cms/若依RuoYi/ruoyi-system/src/main/java/com/ruoyi/system/service/impl/SysUserServiceImpl.java, MyBatis Mapper XML SQL injection, MyBatisMapperXmlSqlInjection
user : SysUser, list, /Users/pang0lin/cms/若依RuoYi/ruoyi-admin/src/main/java/com/ruoyi/web/controller/system/SysUserController.java, user, list, /Users/pang0lin/cms/若依RuoYi/ruoyi-system/src/main/java/com/ruoyi/system/service/impl/SysUserServiceImpl.java, MyBatis Mapper XML SQL injection, MyBatisMapperXmlSqlInjection
user : SysUser, export, /Users/pang0lin/cms/若依RuoYi/ruoyi-admin/src/main/java/com/ruoyi/web/controller/system/SysUserController.java, user, export, /Users/pang0lin/cms/若依RuoYi/ruoyi-system/src/main/java/com/ruoyi/system/service/impl/SysUserServiceImpl.java, MyBatis Mapper XML SQL injection, MyBatisMapperXmlSqlInjection
role : SysRole, list, /Users/pang0lin/cms/若依RuoYi/ruoyi-admin/src/main/java/com/ruoyi/web/controller/system/SysRoleController.java, role, list, /Users/pang0lin/cms/若依RuoYi/ruoyi-system/src/main/java/com/ruoyi/system/service/impl/SysRoleServiceImpl.java, MyBatis Mapper XML SQL injection, MyBatisMapperXmlSqlInjection
